"location","date","total_cases_per_million"
"Papua New Guinea",2023-04-19,4617.937
"Paraguay",2023-04-19,108507.104
"Peru",2023-04-19,132069.028
"Philippines",2023-04-19,35358.291
"Pitcairn",2023-04-19,85106.383
"Poland",2023-04-19,163329.942
"Portugal",2023-04-19,543072.988
"Puerto Rico",2023-04-19,341782.037
"Qatar",2023-04-19,187567.877
"Reunion",2023-04-19,507765.419
"Romania",2023-04-19,172188.082
"Russia",2023-04-19,157389.688
"Rwanda",2023-04-19,9668.061
"Saint Barthelemy",2023-04-19,498817.537
"Saint Helena",2023-04-19,401036.845
"Saint Kitts and Nevis",2023-04-19,138377.97
"Saint Lucia",2023-04-19,167074.364
"Saint Martin (French part)",2023-04-19,386189.339
"Saint Pierre and Miquelon",2023-04-19,582158.029
"Saint Vincent and the Grenadines",2023-04-19,92363.336
"Samoa",2023-04-19,75259.679
"San Marino",2023-04-19,711219.947
"Sao Tome and Principe",2023-04-19,28769.575
"Saudi Arabia",2023-04-19,23031.257
"Senegal",2023-04-19,5138.986
"Serbia",2023-04-19,367949.895
"Seychelles",2023-04-19,475446.866
"Sierra Leone",2023-04-19,901.958
"Singapore",2023-04-19,410625.859
"Sint Maarten (Dutch part)",2023-04-19,249592.686
"Slovakia",2023-04-19,330673.851
"Slovenia",2023-04-19,633437.005
"Solomon Islands",2023-04-19,33930.623
"Somalia",2023-04-19,1553.288
"South Africa",2023-04-19,67995.807
"South America",2023-04-19,156539.382
"South Korea",2023-04-19,598158.925
"South Sudan",2023-04-19,1683.104
"Spain",2023-04-19,290458.943
"Sri Lanka",2023-04-19,30785.333
"Sudan",2023-04-19,1365.207
"Suriname",2023-04-19,133477.12
"Sweden",2023-04-19,256296.194
"Switzerland",2023-04-19,503429.849
"Syria",2023-04-19,2595.361
"Tajikistan",2023-04-19,1787.037
"Tanzania",2023-04-19,656.099
"Thailand",2023-04-19,65963.714
"Timor",2023-04-19,17465.172
"Togo",2023-04-19,4460.655
"Tokelau",2023-04-19,2641.31
"Tonga",2023-04-19,157335.754
"Trinidad and Tobago",2023-04-19,124919.418
"Tunisia",2023-04-19,93254.385
"Turkey",2023-04-19,199255.078
"Turks and Caicos Islands",2023-04-19,143572.585
"Tuvalu",2023-04-19,245169.828
"Uganda",2023-04-19,3609.322
"Ukraine",2023-04-19,138583.811
"United Arab Emirates",2023-04-19,112290.065
"United Kingdom",2023-04-19,363738.943
"United States",2023-04-19,304405.805
"United States Virgin Islands",2023-04-19,250283.98
"Upper middle income",2023-04-19,96345.845
"Uruguay",2023-04-19,302996.439
"Uzbekistan",2023-04-19,7292.265
"Vanuatu",2023-04-19,36768.847
"Vatican",2023-04-19,32178.218
"Venezuela",2023-04-19,19519.287
"Vietnam",2023-04-19,117440.078
"Wallis and Futuna",2023-04-19,295532.942
"World",2023-04-19,95765.432
"Yemen",2023-04-19,354.487
"Zambia",2023-04-19,17174.976
"Zimbabwe",2023-04-19,16213.496
