"uri","name","genres","followers","popularity","image_url"
"spotify:artist:3UjPnt2nRmw10N58bBeNOg","Xavier Omär","R&B",391458,54,"https://i.scdn.co/image/ab6761610000e5eb9a64b58260162413c56a5037"
"spotify:artist:0WfaItAbs4vlgIA1cuqGtJ","Daniela Andrade","R&B",391156,55,"https://i.scdn.co/image/ab6761610000e5eb0463f3fb5310a2647a22317b"
"spotify:artist:4FlG0V0jhLO4qGpayFOphj","EST Gee","Hip-Hop",390859,70,"https://i.scdn.co/image/ab6761610000e5ebf6ee8f565f86fed366b55840"
"spotify:artist:2xvtxDNInKDV4AvGmjw6d1","Bladee","Hip-Hop",390098,68,"https://i.scdn.co/image/ab6761610000e5eb87e81f834df541e0041d7958"
"spotify:artist:1c4rxrxy8eDLvMVL1DTiBe","Andra Day","R&B",389730,57,"https://i.scdn.co/image/ab6761610000e5eb30818ecdddaa3c0b25cf23eb"
"spotify:artist:1p6CdzJRoicjRcSdWoB9Qc","Mitchell Tenpenny","Rock, Country",389641,67,"https://i.scdn.co/image/ab6761610000e5eb14ee6a7f4a714fadb5e10601"
"spotify:artist:0khzcQ6PQU5a6dl1Qss3pt","Lorrie Morgan","Country",388729,48,"https://i.scdn.co/image/463b91de449a01f34b462ddda33c1323f938f443"
"spotify:artist:4mkjpWbFO45SyaHiM9GOVE","2KBABY","Hip-Hop",387708,55,"https://i.scdn.co/image/ab6761610000e5eb406305880ff1b32786697800"
"spotify:artist:0tbeZu9lv8YEKSQ9tZSslu","Amber Mark","R&B",387317,60,"https://i.scdn.co/image/ab6761610000e5ebab93bdf2e04986a1cdbbe016"
"spotify:artist:40tNK2YedBV2jRFAHxpifB","David Tao","R&B",386566,57,"https://i.scdn.co/image/ab67616d0000b2737c20fb440980c4f2f24346c5"
"spotify:artist:1SX44N5qjWuFcCK8WTO0c6","Pam Tillis","Country",384294,52,"https://i.scdn.co/image/ab6761610000e5ebf80618f0f267da763aaa7b8e"
"spotify:artist:6Sb8EHpZvyjSTT5KD9DjUZ","Ronnie Milsap","Country",383355,55,"https://i.scdn.co/image/ab6761610000e5eb86ca57514c9c268f61c209af"
"spotify:artist:5MraexJKZDrQYzS98kNwie","Sevdaliza","EDM",382743,50,"https://i.scdn.co/image/ab6761610000e5ebbb0c01f917ce7d02fede89f6"
"spotify:artist:5XMyhVhi5ZN2pi0Qwi1zXS","Joy Crookes","R&B",382071,61,"https://i.scdn.co/image/ab6761610000e5ebda9c901bfb1d6c545ed68c47"
"spotify:artist:4DZGvSv2oMkBUnPz67E6z6","David Nail","Country",382013,54,"https://i.scdn.co/image/ab6761610000e5eb61c0c7da030bac89f5e4fa65"
"spotify:artist:1mceaxtjWdEmwoDVAlkC41","Zaytoven","Hip-Hop",379391,53,"https://i.scdn.co/image/ab6761610000e5eb1c2bd35434fb9a4873631fee"
"spotify:artist:3u1ulLq00Y3bfmq9FfjsPu","Ween","Rock",379100,58,"https://i.scdn.co/image/4fe164354c1ab90670bdb67606c3db2cd6de7514"
"spotify:artist:3v4feUQnU3VEUqFrjmtekL","Faces","Country",378964,58,"https://i.scdn.co/image/016b5ccee6aae8ff1701a3ba8ff183161a51f504"
"spotify:artist:40Ojab0UtVQFjA76qXr8Ot","Apparat","EDM",378511,49,"https://i.scdn.co/image/ab6761610000e5eb3b4ed59299bd6a59005660a7"
"spotify:artist:2cADQgiLMjNhbsfeN52Bf3","Swizz Beatz","Hip-Hop",378456,62,"https://i.scdn.co/image/ab6761610000e5ebaab238968309b88b14407cbd"
"spotify:artist:4T8NIfZmVY6TJFqVzN6X49","tobi lou","Hip-Hop",377957,63,"https://i.scdn.co/image/ab6761610000e5ebb58d6063c0cb00aafe248a58"
"spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx","Warren Zevon","Country",377641,56,"https://i.scdn.co/image/ab6761610000e5ebafbd9097632bf3b43eb61018"
"spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","Hip-Hop",377638,70,"https://i.scdn.co/image/ab6761610000e5eb78943c98dc4fcda17d2aaae2"
"spotify:artist:2e4G04F77jxVuDYo44TCSm","Loco","R&B",376610,62,"https://i.scdn.co/image/ab6761610000e5eb29971b8d9d19fef176338e4a"
"spotify:artist:0tvpihdAsKiNnP6sWS3jUI","TroyBoi","EDM",376569,61,"https://i.scdn.co/image/ab6761610000e5ebd1fa76f62c61486dd01295c4"
"spotify:artist:0q9lPhJHW5R9J7RXIJRbTk","Iration","Rock",375266,58,"https://i.scdn.co/image/ab6761610000e5ebaa4cde12a4bae632672b0e97"
"spotify:artist:7kplJl06UmldxLKseURAYi","Warren Zeiders","Pop, Country",374235,66,"https://i.scdn.co/image/ab6761610000e5eb87063e231dafea51d2bfb252"
"spotify:artist:5RTLRtXjbXI2lSXc6jxlAz","Ravyn Lenae","R&B",374062,57,"https://i.scdn.co/image/ab6761610000e5ebf1b6211dfc88bef23efc6a1b"
"spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","R&B",372706,58,"https://i.scdn.co/image/ab6761610000e5ebaef33b88f5b94d146953650b"
"spotify:artist:2lRH2dgU5Kk4Bc5phmII4T","LANCO","Country",372072,54,"https://i.scdn.co/image/ab6761610000e5ebc6aaea45be7a23542c0df8bc"
"spotify:artist:4AgQTHagFdBq8VL791lSXz","Keith Anderson","Country",372060,47,"https://i.scdn.co/image/47a16192ec41f2f0d05c0111ef49c21724d27bc6"
"spotify:artist:3Q8wgwyVVv0z4UEh1HB0KY","Jason Isbell","Country",371028,55,"https://i.scdn.co/image/ab6761610000e5eb4d03c4e0dacde5c1702c7c2f"
"spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","R&B",370102,60,"https://i.scdn.co/image/ab6761610000e5ebf4beed2035d94e81581e167f"
"spotify:artist:3kvy8do7n0qVqvlNFS4yOF","Jerry Reed","Country",369347,55,"https://i.scdn.co/image/5e8e3ab3eb75dde55f8215583d1429bebd61576f"
"spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Hoody","R&B",368846,56,"https://i.scdn.co/image/ab6761610000e5eb165f3d573fd01404280ff78f"
"spotify:artist:2ZbWlThDW0qSbI3hinpl0w","MC Lyte","R&B",368130,48,"https://i.scdn.co/image/e6b51b4361b37343ec854e1fa7f5c2d110769f16"
"spotify:artist:2u7CP5T30c8ctenzXgEV1W","pH-1","R&B",367472,63,"https://i.scdn.co/image/ab6761610000e5eb3b9524830b4d4f486e9c1dd8"
"spotify:artist:2LFbgsbEhfilNpQYW7mied","Shane & Shane","Rock",366987,63,"https://i.scdn.co/image/ab6761610000e5ebbc55335a6f549f049493c325"
"spotify:artist:3ETLPQkcEd7z4k3IbZmXMq","Cleo Sol","R&B",366638,60,"https://i.scdn.co/image/ab6761610000e5ebfef43a820087b1db4f06e052"
"spotify:artist:39xmI59WrIMyyJjSDq6WCu","Crowder","Rock",365832,61,"https://i.scdn.co/image/ab6761610000e5eb9dacf8572ef17fb8f7da1a60"
"spotify:artist:4pJCawaKSZ40EnxN0YEYw3","Badfinger","Country",364944,56,"https://i.scdn.co/image/b97b494de7eb8619b1e2765ec5b0fe327e09b809"
"spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Remi Wolf","Pop",364314,65,"https://i.scdn.co/image/ab6761610000e5eb0d1e34ba86db34492fa83df8"
"spotify:artist:1YK8JdPbiaMSnf4hrlBkGT","Pepper","Rock",363450,57,"https://i.scdn.co/image/ab6761610000e5eb91089df3d9b7b9171a506e09"
"spotify:artist:0ABk515kENDyATUdpCKVfW","Westside Gunn","Hip-Hop",363409,66,"https://i.scdn.co/image/ab6761610000e5ebe6cf8cc2f715a02513826594"
"spotify:artist:5QNm7E7RU2m64l6Gliu8Oy","HARDY","Pop, Country",363284,76,"https://i.scdn.co/image/ab6761610000e5eb49fd87fcc0a12855f9ca8763"
"spotify:artist:3RPYHNSwe3w0mtfJwKIN9P","Bubba Sparxxx","Country, Hip-Hop",362113,55,"https://i.scdn.co/image/ab6761610000e5ebfeae893ef5a2e644b97c1cf9"
"spotify:artist:4uaaRGr9KMfYPDaUnBIngc","Ricky Van Shelton","Country",362106,46,"https://i.scdn.co/image/d5b4d1d824e375432f5d128dca90200d82167141"
"spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y","Mick Gordon","EDM",361104,61,"https://i.scdn.co/image/ab6761610000e5eb7751162bd035e28232a2381f"
"spotify:artist:4O71i7ke5iIBX6RNSFoZbS","trentemøller","EDM",360284,48,"https://i.scdn.co/image/ab6761610000e5eb803519cf5b2d6bc6a0584011"
"spotify:artist:3aGFCoR8xGN6DKwvdzeSja","ILOVEMAKONNEN","Hip-Hop",359368,57,"https://i.scdn.co/image/ab6761610000e5ebd89dc215c1dbf1d5cc8d6f02"
"spotify:artist:0jgAONnsHxrwAlhkMUVS78","Eddie Rabbitt","Country",359298,55,"https://i.scdn.co/image/2d83bc3adcc2feafceaf23b86b0226cd443064e4"
"spotify:artist:3mJ9GlkLzj8Ka7Z7EQaCMi","Watsky","Hip-Hop",355771,54,"https://i.scdn.co/image/ab6761610000e5eb815c2c3b1455b741ce3c5934"
"spotify:artist:4k3yrCOPB5wp2ne8R9MQoM","Janine","R&B",355186,51,"https://i.scdn.co/image/ab6761610000e5eb9a68f59feaae1bb9b44f8ca7"
"spotify:artist:6MLDcHrNh4OqxDZAjMt5pt","Ralph Tresvant","R&B",353204,51,"https://i.scdn.co/image/bd0c8f45ab80161bf114ef2a2e908e13201464bc"
"spotify:artist:6iDaoPZVgxrTkndDCisX8F","Keb' Mo'","Country",352358,52,"https://i.scdn.co/image/ab6761610000e5eb952dfda833ad8a9e07c42fa2"
"spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","EDM",352263,50,"https://i.scdn.co/image/ab6772690000c46c2e0662f18cc4b8676f3ecedd"
"spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","Pop, Rock",351313,74,"https://i.scdn.co/image/ab6761610000e5eb09239cf62ab2187c023fcee4"
"spotify:artist:7502fDxg339jvGV08Jd4R0","Jasiah","Hip-Hop",349662,64,"https://i.scdn.co/image/ab6761610000e5eb30ba3d085d25d26f44042efd"
"spotify:artist:0dvKgSdNB2U1gfp6ZcekYi","Frankie Ballard","Country",348987,51,"https://i.scdn.co/image/ab6761610000e5eb3b1dff850d167adf76109b3a"
"spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","EDM",348794,54,"https://i.scdn.co/image/ab6761610000e5eb0fb1220e7e3ace47ebad023e"
"spotify:artist:48q2mPVwlKnlSaCx07i6Ta","Datsik","EDM",347456,47,"https://i.scdn.co/image/ab6761610000e5ebdfee6ea6d0238ac2623b4d84"
"spotify:artist:4BANbHDs1IluagTx5eRW2P","Jon Langston","Country",345692,55,"https://i.scdn.co/image/ab6761610000e5ebb0a3ab70a1196cf473a639e9"
"spotify:artist:6DgP9otnZw5z6daOntINxp","Joel Corry","Pop",345465,75,"https://i.scdn.co/image/ab6761610000e5eb9a6120c159fb565dede9031c"
"spotify:artist:4AapPt7H6bGH4i7chTulpI","Ben Rector","Rock",342504,61,"https://i.scdn.co/image/ab6761610000e5ebb75031575987bae062bc5acb"
"spotify:artist:12j6dJrPXanCBwY599pZxf","Matt Maltese","Pop",342137,69,"https://i.scdn.co/image/ab6761610000e5eb0a7de9daa9630364dc57ce3f"
"spotify:artist:4rfTlSG4QNPCdjo57jAmMW","Jawga Boyz","Country",341442,50,"https://i.scdn.co/image/ab6761610000e5eb7f2373161ea08be987b2951b"
"spotify:artist:5iB5AWIa7qreioi0AF3Bxa","The Bellamy Brothers","Country",340635,58,"https://i.scdn.co/image/ab6761610000e5eb37df5a57340d57d76a66a1b9"
"spotify:artist:0DchahWJGQqrqr8PMM5zQD","Johnny Paycheck","Country",339865,51,"https://i.scdn.co/image/35b20170961c62d7b35ed386a0e100b8544ce353"
"spotify:artist:2nszamLjZFgu3Yx77mKxuC","UNKLE","EDM",339260,50,"https://i.scdn.co/image/ab6761610000e5ebac89f1cb4f6881854f55f761"
"spotify:artist:03a5eVjzFyQlR4XyVSwt4t","Love and Theft","Country",339190,46,"https://i.scdn.co/image/ab6761610000e5eb744394a57acd363f2c593c1c"
"spotify:artist:7HqrSDuI9lHuH1CDismTFg","AZ","Hip-Hop",339090,58,"https://i.scdn.co/image/ab6761610000e5eb6de585ce055095290e66eaef"
"spotify:artist:5IcGbIAgdns0R5EJKHMjCQ","LOCASH","Country",339017,53,"https://i.scdn.co/image/ab6761610000e5ebab8760330b7aa23f987505c9"
"spotify:artist:3M1quhETLChtt9NHKVaajX","Quin Nfn","Hip-Hop",338697,59,"https://i.scdn.co/image/ab6761610000e5eb0a249c1365d75e4c692f0034"
"spotify:artist:2MtHuR0W2idZdF7x4wddqq","GIRIBOY","R&B",336791,56,"https://i.scdn.co/image/ab6761610000e5ebad99e4f68ec97e65589dbbe1"
"spotify:artist:6LHsnRBUYhFyt01PdKXAF5","Bob Moses","EDM",335445,61,"https://i.scdn.co/image/ab6761610000e5eb05160aec0fc3da915f1230ab"
"spotify:artist:5hfOHpGMsi8O3DA0ROLGqF","James Gang","Country",334535,52,"https://i.scdn.co/image/b7accd8373ed5f6b920ef11d6c1609761cc8ac60"
"spotify:artist:2fBURuq7FrlH6z5F92mpOl","Digitalism","EDM",334186,50,"https://i.scdn.co/image/ab6761610000e5eb5f592fa7bcfc1940f1c32021"
"spotify:artist:5kuJibJcwOC53s3OkoGMRA","The Revivalists","Rock",333548,58,"https://i.scdn.co/image/ab6761610000e5eb05c5c09c592391a22b260c70"
"spotify:artist:0yp6xP5xe1qarfugfTixOK","Monetochka","EDM",333238,55,"https://i.scdn.co/image/ab6761610000e5ebed68a9d2e9fc49d039de0276"
"spotify:artist:0q2lY1ZzFckzciuoMtUvck","Canaan Smith","Country",332584,50,"https://i.scdn.co/image/ab6761610000e5eb263a45d72442b0515b5b25b4"
"spotify:artist:1XhhO2dTs2fKyhILj0aam6","Phil Vassar","Country",332556,46,"https://i.scdn.co/image/ab6761610000e5ebaa1161821c179ace038ccdc4"
